"Timestamp","Server","PR","Build","DockerVersion","KernelVersion","Result","Error"
"2019-05-29 12:33:34","azure-windows-rs1-4","39193","25356","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE","assertion failed: error is not nil: Error response from daemon: failed to detach VHD: invalid argument: rename D:\CI\CI-242e6d34b2\daemon\windowsfilter\dae400a9902e4c2a850d0def682a1402be5be61566d9a8f8b160d59194bb4134 D:\CI\CI-242e6d34b2\daemon\windowsfilter\dae400a9902e4c2a850d0def682a1402be5be61566d9a8f8b160d59194bb4134-removing: Access is denied.: failed to remove image sha256:786ab0f6fdfb799af6fc3f727928ad243b28d4a0f1ee777e8b03e70befcd8364"
"2019-05-29 17:57:56","azure-windows-rs1-4","39281","25357","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE","assertion failed: error is not nil: Error response from daemon: failed to detach VHD: invalid argument: rename D:\CI\CI-c7d9599e3d\daemon\windowsfilter\12159ef7fe9708156403cb1a537901605c4cf569cad78f9353d5f05f99378845 D:\CI\CI-c7d9599e3d\daemon\windowsfilter\12159ef7fe9708156403cb1a537901605c4cf569cad78f9353d5f05f99378845-removing: Access is denied.: failed to remove image sha256:ee42289fadf060195dcf6a9cfa25116e5011a9c4052b298f5f4c32f36d4acd32"
"2019-05-29 19:05:52","azure-windows-rs1-4","39193","25358","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE","assertion failed: error is not nil: Error response from daemon: failed to detach VHD: invalid argument: rename D:\CI\CI-b58bd345e5\daemon\windowsfilter\0ea6ad8b379e72d4201d46792dcf5379dd13993e1a7d73074a9fb4a7c88595ab D:\CI\CI-b58bd345e5\daemon\windowsfilter\0ea6ad8b379e72d4201d46792dcf5379dd13993e1a7d73074a9fb4a7c88595ab-removing: Access is denied.: failed to remove image sha256:55e439a941f7234948e62551b099f4c6237bdf13d8f5907dda3720e49f0963ba"
"2019-05-29 19:44:19","azure-windows-rs1-5","39193","25359","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE","assertion failed: error is not nil: Error response from daemon: failed to detach VHD: invalid argument: rename D:\CI\CI-a7f442cd5e\daemon\windowsfilter\e32eb86fa0424ca65302de40a0158ba99d439957f8329e6cdd7790a9a0e02c0d D:\CI\CI-a7f442cd5e\daemon\windowsfilter\e32eb86fa0424ca65302de40a0158ba99d439957f8329e6cdd7790a9a0e02c0d-removing: Access is denied.: failed to remove image testbuildaddmultiplelocalfilewithcache:latest"
"2019-05-29 20:46:22","azure-windows-rs1-3","39259","25360",,,"FAILURE",
"2019-05-29 20:52:55","azure-windows-rs1-8","39259","25361","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE","assertion failed: error is not nil: Error response from daemon: failed to detach VHD: invalid argument: rename D:\CI\CI-33c630294a\daemon\windowsfilter\17040890d07650a291d1f711e449ee7d9d6aaed748982c26ddacb2311ee181cd D:\CI\CI-33c630294a\daemon\windowsfilter\17040890d07650a291d1f711e449ee7d9d6aaed748982c26ddacb2311ee181cd-removing: Access is denied.: failed to remove image sha256:2a7f252b819170a9acfe05b9e749d3d29ee519a8c8e0190b22043ca70ababc48"
"2019-05-29 21:59:24","azure-windows-rs1-3","39259","25362",,,"FAILURE",
"2019-05-30 00:31:15","azure-windows-rs1-4","39281","25363","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE","assertion failed: error is not nil: Error response from daemon: failed to detach VHD: invalid argument: rename D:\CI\CI-c7d9599e3d\daemon\windowsfilter\466c6d5b61b562f36c0b217265bfade0c7379506ee1d1b9e77f828520a488250 D:\CI\CI-c7d9599e3d\daemon\windowsfilter\466c6d5b61b562f36c0b217265bfade0c7379506ee1d1b9e77f828520a488250-removing: Access is denied.: failed to remove image sha256:4d538338900296ba205e72c2f6e22c2ce7a15efa6615813410392cf466ec4e97"
"2019-05-30 01:21:37","azure-windows-rs1-5","39279","25364","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE","assertion failed: error is not nil: Error response from daemon: failed to detach VHD: invalid argument: rename D:\CI\CI-3bb9921b21\daemon\windowsfilter\235472dcc56b6684e81ae9e548b3b009978222faf7a2be3c5f8a5683f0560204 D:\CI\CI-3bb9921b21\daemon\windowsfilter\235472dcc56b6684e81ae9e548b3b009978222faf7a2be3c5f8a5683f0560204-removing: Access is denied.: failed to remove image testbuildaddmultiplelocalfilewithcache:latest"
"2019-05-30 06:23:13","azure-windows-rs1-3","39259","25365",,,"FAILURE",
